"object_id","question_id","value"
4,1,8
4,2,5
4,3,-8
5,1,-3
5,2,7
5,3,-2
6,1,-4
6,2,-3
6,3,-3
7,1,5
7,2,-1
7,3,-2
4,4,-5
5,4,-3
6,4,0
7,4,-2
4,5,5
5,5,-2
6,5,0
7,5,-3
4,6,6
5,6,1
6,6,-1
7,6,3
4,7,-6
5,7,1
6,7,1
7,7,-2
4,8,-6
5,8,1
6,8,0
7,8,-3
4,9,-2
5,9,-3
6,9,0
7,9,1
4,10,0
5,10,1
6,10,-1
7,10,0
4,11,-3
5,11,1
6,11,1
7,11,2
4,12,-7
5,12,-2
6,12,-1
7,12,4
9,1,5
9,2,2
9,3,-2
9,4,-2
9,5,-5
9,6,4
9,7,-2
9,8,-5
9,9,-1
9,10,2
9,11,4
9,12,5
4,13,0
5,13,1
6,13,0
7,13,-2
9,13,4
12,1,-3
12,2,-1
12,3,0
12,4,-1
12,5,-2
12,6,2
12,7,3
12,8,3
12,9,0
12,10,3
12,11,3
12,12,-2
12,13,-1
13,1,3
13,2,-1
13,3,-2
13,4,-1
13,5,0
13,6,3
13,7,-1
13,8,1
13,9,0
13,10,3
13,11,2
13,12,0
13,13,-1
4,15,-1
5,15,0
6,15,-1
7,15,0
9,15,0
12,15,0
13,15,1
14,1,3
14,2,0
14,3,-2
14,4,0
14,5,-2
14,6,-3
14,7,0
14,8,-3
14,9,0
14,10,2
14,11,3
14,12,3
14,13,2
14,15,0
4,16,-2
5,16,0
6,16,0
7,16,0
9,16,5
12,16,-1
13,16,-1
14,16,2
15,1,-5
15,2,-2
15,3,-3
15,4,-4
15,5,-5
15,6,2
15,7,3
15,8,3
15,9,-1
15,10,-1
15,11,-3
15,12,4
15,13,0
15,15,-2
15,16,0
4,17,-1
5,17,0
6,17,0
7,17,0
9,17,0
12,17,0
13,17,0
14,17,-1
15,17,0
18,1,-1
18,2,-1
18,3,-1
18,4,-1
18,5,-1
18,6,0
18,7,0
18,8,-1
18,9,-1
18,10,0
18,11,0
18,12,-1
18,13,-1
18,15,-1
18,16,-1
18,17,-1
4,18,-1
5,18,0
6,18,0
7,18,0
9,18,0
12,18,0
13,18,0
14,18,0
15,18,-1
18,18,0
19,1,4
19,2,-1
19,3,1
19,4,-1
19,5,-3
19,6,2
19,7,-1
19,8,-4
19,9,-1
19,10,-2
19,11,1
19,12,2
19,13,-2
19,15,-1
19,16,-1
19,17,-1
19,18,-1
4,19,0
5,19,-1
6,19,0
7,19,2
9,19,-1
12,19,1
13,19,0
14,19,-2
15,19,-3
18,19,-1
19,19,5
20,1,-5
20,2,-1
20,3,-2
20,4,-2
20,5,-4
20,6,1
20,7,4
20,8,5
20,9,-1
20,10,-1
20,11,-5
20,12,-4
20,13,-1
20,15,-1
20,16,-2
20,17,-1
20,18,-2
20,19,-1
4,20,-3
5,20,3
6,20,0
7,20,-1
9,20,0
12,20,2
13,20,1
14,20,-1
15,20,5
18,20,0
19,20,0
20,20,1
21,1,-4
21,2,-1
21,3,-1
21,4,2
21,5,-2
21,6,4
21,7,2
21,8,2
21,9,0
21,10,-3
21,11,2
21,12,-2
21,13,-2
21,15,0
21,16,-2
21,17,0
21,18,-1
21,19,0
21,20,-2
4,21,-5
5,21,1
6,21,1
7,21,-1
9,21,-2
12,21,2
13,21,-2
14,21,-2
15,21,-1
18,21,-1
19,21,-2
20,21,-3
21,21,0
22,1,-1
22,2,0
22,3,-1
22,4,1
22,5,-1
22,6,1
22,7,1
22,8,-1
22,9,-1
22,10,-1
22,11,-1
22,12,-1
22,13,-1
22,15,-1
22,16,1
22,17,-1
22,18,-1
22,19,1
22,20,1
22,21,-1
23,1,-2
23,2,-1
23,3,1
23,4,-1
23,5,-1
23,6,1
23,7,-1
23,8,-2
23,9,0
23,10,-1
23,11,1
23,12,2
23,13,-2
23,15,0
23,16,-2
23,17,-1
23,18,-1
23,19,0
23,20,-2
23,21,1
4,23,0
5,23,0
6,23,0
7,23,0
9,23,0
12,23,0
13,23,0
14,23,-1
15,23,-1
18,23,0
19,23,0
20,23,0
21,23,0
22,23,0
23,23,1
4,25,-6
5,25,-1
6,25,-1
7,25,2
9,25,3
12,25,-2
13,25,1
14,25,2
15,25,-4
18,25,0
19,25,-2
20,25,-3
21,25,-2
22,25,0
23,25,1
26,1,2
26,2,0
26,3,1
26,4,-1
26,5,-3
26,6,3
26,7,-2
26,8,-3
26,9,0
26,10,-2
26,11,-3
26,12,2
26,13,-3
26,15,0
26,16,-1
26,17,0
26,18,0
26,19,-1
26,20,-1
26,21,-3
26,23,-1
26,25,1
4,26,-4
5,26,1
6,26,1
7,26,3
9,26,0
12,26,0
13,26,1
14,26,3
15,26,-4
18,26,0
19,26,3
20,26,4
21,26,-1
22,26,0
23,26,0
26,26,1
4,27,0
5,27,-1
6,27,1
7,27,-3
9,27,3
12,27,2
13,27,0
14,27,-3
15,27,4
18,27,0
19,27,-3
20,27,4
21,27,2
22,27,0
23,27,-1
26,27,-2
4,28,-2
5,28,-1
6,28,0
7,28,-4
9,28,0
12,28,2
13,28,-1
14,28,-6
15,28,0
18,28,0
19,28,-3
20,28,-3
21,28,-2
22,28,0
23,28,-1
26,28,-2
28,1,6
28,2,0
28,3,-2
28,4,0
28,5,8
28,6,5
28,7,0
28,8,-6
28,9,0
28,10,2
28,11,4
28,12,-11
28,13,0
28,15,-1
28,16,0
28,17,0
28,18,0
28,19,0
28,20,0
28,21,-2
28,23,-2
28,25,4
28,26,-10
28,27,9
28,28,-5
4,30,7
5,30,-1
6,30,-1
7,30,-1
9,30,-1
12,30,-2
13,30,-1
14,30,-2
15,30,4
18,30,0
19,30,0
20,30,0
21,30,-2
22,30,0
23,30,0
26,30,-2
28,30,-4
30,1,1
30,2,-1
30,3,0
30,4,1
30,5,3
30,6,-6
30,7,-1
30,8,-1
30,9,0
30,10,0
30,11,1
30,12,-3
30,13,0
30,15,0
30,16,2
30,17,0
30,18,-1
30,19,-1
30,20,2
30,21,-1
30,23,3
30,25,-1
30,26,-2
30,27,3
30,28,-1
30,30,3
4,31,-6
5,31,-2
6,31,1
7,31,-1
9,31,-5
12,31,-2
13,31,-2
14,31,3
15,31,-1
18,31,0
19,31,-2
20,31,-2
21,31,-1
22,31,0
23,31,0
26,31,-2
28,31,3
30,31,6
31,1,3
31,2,0
31,3,0
31,4,0
31,5,4
31,6,6
31,7,4
31,8,-4
31,9,0
31,10,0
31,11,2
31,12,-6
31,13,0
31,15,0
31,16,1
31,17,0
31,18,0
31,19,0
31,20,-1
31,21,0
31,23,0
31,25,0
31,26,-3
31,27,5
31,28,-3
31,30,3
31,31,5
4,32,0
5,32,-2
6,32,-1
7,32,-2
9,32,-2
12,32,-2
13,32,0
14,32,-3
15,32,5
18,32,0
19,32,-1
20,32,-2
21,32,-2
22,32,0
23,32,1
26,32,-1
28,32,-6
30,32,0
